Year,AFG,ARM,ARG,KHM,COG
1990,0.28,0.66,0.72,0.38,0.54
1991,0.29,0.65,0.73,0.38,0.54
1992,0.3,0.61,0.74,0.39,0.54
1993,0.31,0.61,0.74,0.39,0.53
1994,0.3,0.62,0.75,0.39,0.52
1995,0.32,0.62,0.75,0.4,0.52
1996,0.33,0.63,0.75,0.4,0.51
1997,0.33,0.64,0.76,0.41,0.48
1998,0.33,0.65,0.76,0.41,0.51
1999,0.34,0.65,0.77,0.42,0.51
2000,0.34,0.66,0.78,0.43,0.51
2001,0.34,0.66,0.78,0.45,0.52
2002,0.37,0.67,0.78,0.47,0.52
2003,0.38,0.68,0.79,0.48,0.52
2004,0.4,0.69,0.8,0.5,0.52
2005,0.4,0.7,0.8,0.51,0.54
2006,0.41,0.71,0.81,0.52,0.55
2007,0.43,0.73,0.82,0.53,0.55
2008,0.43,0.73,0.82,0.54,0.56
2009,0.44,0.73,0.83,0.54,0.57
2010,0.45,0.74,0.83,0.54,0.58
2011,0.46,0.74,0.84,0.55,0.58
2012,0.47,0.75,0.84,0.55,0.6
2013,0.48,0.76,0.85,0.55,0.6
2014,0.48,0.76,0.85,0.56,0.61
2015,0.48,0.77,0.85,0.56,0.61
2016,0.48,0.77,0.85,0.57,0.61
2017,0.48,0.78,0.85,0.58,0.6
2018,0.49,0.78,0.85,0.59,0.6
2019,0.49,0.79,0.85,0.6,0.6
2020,0.49,0.77,0.84,0.6,0.6
2021,0.47,0.77,0.84,0.6,0.6
2022,0.46,0.79,0.85,0.6,0.59
